ring,tag1,tag2,model,var,avg1,avg2,diff,t,d,g,delta,p,fname1,fname2,combi
R1,P-DSH-F-Rlow-Leg14,P-DSH-F-Rlow,pmax,Ps,-0.18355816908941666,-0.17053285533667972,-0.013,-4.9571,-0.0294,-0.0294,-0.0285,0.0,EucFACER1_P-DSH-F-Rlow-Leg14.csv,EucFACER1_P-DSH-F-Rlow.csv,P-DSH-F-Rlow-Leg14_P-DSH-F-Rlow
R1,P-DSH-F-Rlow-Leg14,P-DSH-F-Rlow,pmax,Tleaf,18.36013685512016,18.36031490551974,-0.0002,-0.0032,-0.0,-0.0,-0.0,0.9974,EucFACER1_P-DSH-F-Rlow-Leg14.csv,EucFACER1_P-DSH-F-Rlow.csv,P-DSH-F-Rlow-Leg14_P-DSH-F-Rlow
R1,P-DSH-F-Rlow-Leg14,P-DSH-F-Rlow,pmax,Vmax25,83.9939486199092,83.9939486199092,0.0,0.0,0.0,0.0,0.0,1.0,EucFACER1_P-DSH-F-Rlow-Leg14.csv,EucFACER1_P-DSH-F-Rlow.csv,P-DSH-F-Rlow-Leg14_P-DSH-F-Rlow
R1,P-DSH-F-Rlow-Leg14,P-DSH-F-Rlow,pmax,WUE,6.504609995676625,6.5785857439296995,-0.07400000000000001,-1.6951,-0.0108,-0.0108,-0.0108,0.0901,EucFACER1_P-DSH-F-Rlow-Leg14.csv,EucFACER1_P-DSH-F-Rlow.csv,P-DSH-F-Rlow-Leg14_P-DSH-F-Rlow
R1,P-DSH-F-Rlow-Leg14,P-DSH-F-Rlow,pmax,gs,0.09454206381830844,0.092812985707114,0.0017,4.2804,0.0254,0.0254,0.0253,0.0,EucFACER1_P-DSH-F-Rlow-Leg14.csv,EucFACER1_P-DSH-F-Rlow.csv,P-DSH-F-Rlow-Leg14_P-DSH-F-Rlow
R1,P-DSH-F-Rlow-Leg14,P-DSH-F-Rlow,pmax,ksc,1.823617633750296,1.845861149613785,-0.0222,-87.1476,-0.5175,-0.5175,-0.4653,0.0,EucFACER1_P-DSH-F-Rlow-Leg14.csv,EucFACER1_P-DSH-F-Rlow.csv,P-DSH-F-Rlow-Leg14_P-DSH-F-Rlow
R1,P-DSH-F-Rlow-Leg14,P-DSH-F-Rlow,pmax,sw,0.1955754058479449,0.19675869162899234,-0.0012,-3.9658,-0.0236,-0.0235,-0.0234,0.0001,EucFACER1_P-DSH-F-Rlow-Leg14.csv,EucFACER1_P-DSH-F-Rlow.csv,P-DSH-F-Rlow-Leg14_P-DSH-F-Rlow
R1,P-DSH-F-Rlow-Leg30,P-DSH-F-Rlow,pmax,An,5.961059561910094,5.9553098800808,0.0057,0.2569,0.0015,0.0015,0.0015,0.7973,EucFACER1_P-DSH-F-Rlow-Leg30.csv,EucFACER1_P-DSH-F-Rlow.csv,P-DSH-F-Rlow-Leg30_P-DSH-F-Rlow
R1,P-DSH-F-Rlow-Leg30,P-DSH-F-Rlow,pmax,Ci,27.16967417592023,27.09863647580634,0.071,0.7614,0.0045,0.0045,0.0045,0.4464,EucFACER1_P-DSH-F-Rlow-Leg30.csv,EucFACER1_P-DSH-F-Rlow.csv,P-DSH-F-Rlow-Leg30_P-DSH-F-Rlow
R1,P-DSH-F-Rlow-Leg30,P-DSH-F-Rlow,pmax,E,1.2217726349839997,1.1983968781776395,0.0234,4.8019,0.0285,0.0285,0.0282,0.0,EucFACER1_P-DSH-F-Rlow-Leg30.csv,EucFACER1_P-DSH-F-Rlow.csv,P-DSH-F-Rlow-Leg30_P-DSH-F-Rlow
R1,P-DSH-F-Rlow-Leg30,P-DSH-F-Rlow,pmax,Es,0.0969502055219868,0.0982945262790336,-0.0013,-1.0672,-0.0063,-0.0063,-0.0064,0.2859,EucFACER1_P-DSH-F-Rlow-Leg30.csv,EucFACER1_P-DSH-F-Rlow.csv,P-DSH-F-Rlow-Leg30_P-DSH-F-Rlow
R1,P-DSH-F-Rlow-Leg30,P-DSH-F-Rlow,pmax,Jmax25,135.6463077795358,135.6463077795358,0.0,0.0,0.0,0.0,0.0,1.0,EucFACER1_P-DSH-F-Rlow-Leg30.csv,EucFACER1_P-DSH-F-Rlow.csv,P-DSH-F-Rlow-Leg30_P-DSH-F-Rlow
R1,P-DSH-F-Rlow-Leg30,P-DSH-F-Rlow,pmax,Pleaf,-1.277730071344788,-1.2287498019614664,-0.049,-11.6328,-0.0691,-0.0691,-0.0676,0.0,EucFACER1_P-DSH-F-Rlow-Leg30.csv,EucFACER1_P-DSH-F-Rlow.csv,P-DSH-F-Rlow-Leg30_P-DSH-F-Rlow
R1,P-DSH-F-Rlow-Leg30,P-DSH-F-Rlow,pmax,Ps,-0.18320535424490425,-0.17053285533667972,-0.0127,-4.8231,-0.0286,-0.0286,-0.0277,0.0,EucFACER1_P-DSH-F-Rlow-Leg30.csv,EucFACER1_P-DSH-F-Rlow.csv,P-DSH-F-Rlow-Leg30_P-DSH-F-Rlow
R1,P-DSH-F-Rlow-Leg30,P-DSH-F-Rlow,pmax,Tleaf,18.36015513655202,18.36031490551974,-0.0002,-0.0029,-0.0,-0.0,-0.0,0.9977,EucFACER1_P-DSH-F-Rlow-Leg30.csv,EucFACER1_P-DSH-F-Rlow.csv,P-DSH-F-Rlow-Leg30_P-DSH-F-Rlow
R1,P-DSH-F-Rlow-Leg30,P-DSH-F-Rlow,pmax,Vmax25,83.9939486199092,83.9939486199092,0.0,0.0,0.0,0.0,0.0,1.0,EucFACER1_P-DSH-F-Rlow-Leg30.csv,EucFACER1_P-DSH-F-Rlow.csv,P-DSH-F-Rlow-Leg30_P-DSH-F-Rlow
R1,P-DSH-F-Rlow-Leg30,P-DSH-F-Rlow,pmax,WUE,6.508515881820927,6.5785857439297,-0.0701,-1.6034,-0.0102,-0.0102,-0.0102,0.1088,EucFACER1_P-DSH-F-Rlow-Leg30.csv,EucFACER1_P-DSH-F-Rlow.csv,P-DSH-F-Rlow-Leg30_P-DSH-F-Rlow
R1,P-DSH-F-Rlow-Leg30,P-DSH-F-Rlow,pmax,gs,0.09447159325357576,0.092812985707114,0.0017,4.1053,0.0244,0.0244,0.0243,0.0,EucFACER1_P-DSH-F-Rlow-Leg30.csv,EucFACER1_P-DSH-F-Rlow.csv,P-DSH-F-Rlow-Leg30_P-DSH-F-Rlow
