ring,tag1,tag2,model,var,avg1,avg2,diff,t,d,g,delta,p,fname1,fname2,combi
R1,P-DSH-F-Rlow-JV14,P-DSH-F-Rlow,pmax,WUE,6.484348617168795,6.5785857439296995,-0.0942,-2.1573,-0.0137,-0.0137,-0.0138,0.031,EucFACER1_P-DSH-F-Rlow-JV14.csv,EucFACER1_P-DSH-F-Rlow.csv,P-DSH-F-Rlow-JV14_P-DSH-F-Rlow
R1,P-DSH-F-Rlow-JV14,P-DSH-F-Rlow,pmax,gs,0.09238230437709638,0.092812985707114,-0.0004,-1.0713,-0.0064,-0.0064,-0.0064,0.2841,EucFACER1_P-DSH-F-Rlow-JV14.csv,EucFACER1_P-DSH-F-Rlow.csv,P-DSH-F-Rlow-JV14_P-DSH-F-Rlow
R1,P-DSH-F-Rlow-JV14,P-DSH-F-Rlow,pmax,ksc,1.845134249170573,1.845861149613785,-0.0007,-3.0133,-0.0179,-0.0179,-0.0167,0.0026,EucFACER1_P-DSH-F-Rlow-JV14.csv,EucFACER1_P-DSH-F-Rlow.csv,P-DSH-F-Rlow-JV14_P-DSH-F-Rlow
R1,P-DSH-F-Rlow-JV14,P-DSH-F-Rlow,pmax,sw,0.19677172353618846,0.19675869162899234,0.0,0.0439,0.0003,0.0003,0.0003,0.965,EucFACER1_P-DSH-F-Rlow-JV14.csv,EucFACER1_P-DSH-F-Rlow.csv,P-DSH-F-Rlow-JV14_P-DSH-F-Rlow
R1,P-DSH-F-Rlow-JV21,P-DSH-F-Rlow,pmax,An,5.868562284179063,5.9553098800808,-0.0867,-3.8227,-0.0227,-0.0227,-0.0224,0.0001,EucFACER1_P-DSH-F-Rlow-JV21.csv,EucFACER1_P-DSH-F-Rlow.csv,P-DSH-F-Rlow-JV21_P-DSH-F-Rlow
R1,P-DSH-F-Rlow-JV21,P-DSH-F-Rlow,pmax,Ci,27.197920882747674,27.09863647580634,0.0993,1.0673,0.0063,0.0063,0.0064,0.2858,EucFACER1_P-DSH-F-Rlow-JV21.csv,EucFACER1_P-DSH-F-Rlow.csv,P-DSH-F-Rlow-JV21_P-DSH-F-Rlow
R1,P-DSH-F-Rlow-JV21,P-DSH-F-Rlow,pmax,E,1.1961083037847264,1.1983968781776395,-0.0023,-0.473,-0.0028,-0.0028,-0.0028,0.6362,EucFACER1_P-DSH-F-Rlow-JV21.csv,EucFACER1_P-DSH-F-Rlow.csv,P-DSH-F-Rlow-JV21_P-DSH-F-Rlow
R1,P-DSH-F-Rlow-JV21,P-DSH-F-Rlow,pmax,Es,0.0988029688154404,0.0982945262790336,0.0005,0.4019,0.0024,0.0024,0.0024,0.6878,EucFACER1_P-DSH-F-Rlow-JV21.csv,EucFACER1_P-DSH-F-Rlow.csv,P-DSH-F-Rlow-JV21_P-DSH-F-Rlow
R1,P-DSH-F-Rlow-JV21,P-DSH-F-Rlow,pmax,Jmax25,133.25478114848258,135.6463077795358,-2.3915,-44.723,-0.2656,-0.2656,-0.1878,0.0,EucFACER1_P-DSH-F-Rlow-JV21.csv,EucFACER1_P-DSH-F-Rlow.csv,P-DSH-F-Rlow-JV21_P-DSH-F-Rlow
R1,P-DSH-F-Rlow-JV21,P-DSH-F-Rlow,pmax,Pleaf,-1.2247680260142906,-1.2287498019614664,0.004,0.9665,0.0057,0.0057,0.0057,0.3338,EucFACER1_P-DSH-F-Rlow-JV21.csv,EucFACER1_P-DSH-F-Rlow.csv,P-DSH-F-Rlow-JV21_P-DSH-F-Rlow
R1,P-DSH-F-Rlow-JV21,P-DSH-F-Rlow,pmax,Ps,-0.17396154072540354,-0.17053285533667972,-0.0034,-1.3266,-0.0079,-0.0079,-0.0077,0.1847,EucFACER1_P-DSH-F-Rlow-JV21.csv,EucFACER1_P-DSH-F-Rlow.csv,P-DSH-F-Rlow-JV21_P-DSH-F-Rlow
R1,P-DSH-F-Rlow-JV21,P-DSH-F-Rlow,pmax,Tleaf,18.359460868694235,18.36031490551974,-0.0009,-0.0155,-0.0001,-0.0001,-0.0001,0.9877,EucFACER1_P-DSH-F-Rlow-JV21.csv,EucFACER1_P-DSH-F-Rlow.csv,P-DSH-F-Rlow-JV21_P-DSH-F-Rlow
R1,P-DSH-F-Rlow-JV21,P-DSH-F-Rlow,pmax,Vmax25,85.26366749081728,83.9939486199092,1.2697,44.723,0.2656,0.2656,0.1878,0.0,EucFACER1_P-DSH-F-Rlow-JV21.csv,EucFACER1_P-DSH-F-Rlow.csv,P-DSH-F-Rlow-JV21_P-DSH-F-Rlow
R1,P-DSH-F-Rlow-JV21,P-DSH-F-Rlow,pmax,WUE,6.484173631120727,6.5785857439297,-0.0944,-2.1567,-0.0137,-0.0137,-0.0137,0.031,EucFACER1_P-DSH-F-Rlow-JV21.csv,EucFACER1_P-DSH-F-Rlow.csv,P-DSH-F-Rlow-JV21_P-DSH-F-Rlow
